,title,abstract,published date,doi
188,Composite Machine Learning Strategy for Natural Products Taxonomical Classification and Structural Insights,"Taxonomical classification of natural products (NPs) can facilitate bioprospecting efforts, aid genomic and phylogenetic analysis of source organisms, and support sustainable biosynthesis of novel drugs using NPs as building blocks. In this work, a composite machine learning strategy merging graph convolutional neural networks (GCNN), feed forward neural networks (FFN), and support vector machines (SVM) is proposed and illustrated for the taxonomical classification of NPs within five kingdoms (animal, bacteria, chromista, fungi, and plant). Our composite model trained on 133,092 NPs from the LOTUS database demonstrated a five-fold cross validated classification accuracy of 97.1%. When employed to classify NPs beyond its training set from the NP Atlas database, accuracies of 83.2% for bacteria and 86.5% for fungi were obtained. Dimensionality reduced representations of the molecular embeddings from our composite model revealed well-separated clusters of NPs that are the basis for superior classification. The top critical substructures from the NPs of each kingdom were also identified and compared to provide insights on NP structure-taxonomy relationships. Overall, this study demonstrates the potential of composite machine learning models for NP taxonomical classification and to shed light on the underlying structural reasons for such classification assignments.",2024-06-13T12:43:07.350Z,10.26434/chemrxiv-2024-27pm8
189,Learning RMSD to Improve Protein-Ligand Scoring and Pose Selection,"Docking algorithms are an essential part of the Structure Based Drug Design (SBDD) process as they aim to effectively identify the binding poses of chemical structures at the target site. These algorithms are reliant on scoring functions that evaluate the binding ability of a ligand conformation. Typically, scoring functions are designed to predict the binding affinity of various poses at the target site. In this work, we design a novel approach where the scoring function attempts to predict the Root Mean Square Deviation (RMSD) of a pose to the true binding pose. We show that a Convolutional Neural Network (CNN) can be trained to learn these RMSD values with high correlation between predicted and experimental values. Furthermore we show that this scoring function can improve pose selection performance when used in combination with orthogonal scoring functions like Autodock Vina.",2020-03-03T07:20:45.000Z,10.26434/chemrxiv.11910870.v2
190,TRACER: Molecular Optimization Using Conditional Transformer for Reaction-Aware Compound Exploration with Reinforcement Learning,"Designing molecules with desirable properties is a critical endeavor in drug discovery. Because of recent advances in deep learning, molecular generative models have been developed. However, existing compound exploration models often disregard the important issue of ensuring the feasibility of organic synthesis. To address this issue, we propose TRACER (molecular optimization using a conditional Transformer for reaction-aware compound exploration with reinforcement learning); this is a framework that integrates the optimization of molecular properties with the generation of synthetic pathways. At the core of TRACER is a conditional Transformer model trained on a dataset of chemical reactions. The model can predict the product from a given reactant under the constraints of a reaction type specified by a graph convolutional network. The results of molecular optimization on an activity prediction model targeting the dopamine receptor D2 showed that TRACER effectively generated compounds exhibiting high scores. The Transformer model, which recognizes the entire structure, captures the complexity of the organic synthesis and enables its navigation in the vast chemical space, with consideration of the real-world reactivity constraints.  The source code of TRACER, the activity prediction model, and the curated dataset are available in our public repository at https://github.com/sekijima-lab/TRACER.",2024-06-03T12:04:34.056Z,10.26434/chemrxiv-2024-s8mlj
191,Repurposing Quantum Chemical Descriptor Datasets for on-the-Fly Generation of Informative Reaction Representations: Application to Hydrogen Atom Transfer Reactions,"In this work, we explore how existing datasets of quantum chemical properties can be repurposed to build data-efficient downstream machine learning models, with a particular focus on predicting the activation energy of hydrogen atom transfer (HAT) reactions. Starting from a valence bond (VB) analysis of a generic HAT process, a set of informative descriptors is identified. Next, a surrogate neural network model is constructed to predict an informative representation, based on the identified VB descriptors, with the help of a publicly available dataset of (pre-computed) quantum chemical properties of organic radicals. We demonstrate that coupling the resulting on-the-fly informative representation to a secondary machine-learning model for activation energy prediction outperforms various predictive model architectures starting from conventional machine-learning inputs by a wide margin, at no additional computational cost. As a bonus, by basing their final predictions on physically meaningful descriptors, our models become inherently interpretable. Finally, because of the extreme data efficiency of our descriptor-augmented models, we are able to fine-tune and apply them to small datasets across various reaction conditions, settings and application domains, ranging from regular (liquid phase) synthesis, over metabolism and drug design, to atmospheric chemistry.",2023-12-07T11:21:15.517Z,10.26434/chemrxiv-2023-2n281
192,Improved Selection of Rare Reactions in Template-Based Retrosynthesis Predictions," Identifying synthetic routes for molecules of interest is a crucial step when discovering new drugs or materials. To find synthetic routes, we can use computer-assisted synthesis planning using expansion policy networks trained on reaction templates extracted from patents and the literature. However, experience has shown that these networks are biased towards frequently reported reactions. This study shows that changing the molecular representation from an extended-connectivity fingerprint to a simple graph representation can increase the accuracy for templates used less than five times by 5.0- 8.5% points. We also illustrate that a simple oversampling of the training set yielded a top-1 accuracy increase in the 17-20% point range for templates used five times or less.",2021-12-21T04:18:37.796Z,10.26434/chemrxiv-2021-9fgtl
193,Natural Product Scores and Fingerprints Extracted from Artificial Neural Networks.,"Due to their desirable properties, natural products are an important ligand class for medicinal chemists. However, due to their structural distinctiveness, traditional cheminformatic approaches, like ligand-based virtual screening, often perform worse for natural products. Based on our recent work, we evaluated the ability of neural networks to generate fingerprints more appropriate for use with natural products. A manually curated dataset of natural products and synthetic decoys was used to train a multilayer perceptron network and an autoencoder-like network. In-depth analysis showed that the extracted natural product-specific neural fingerprint outperforms traditional as well as natural product-specific fingerprints on three datasets. Further, we explored how the activations from the output layer of a network can work as a novel natural product likeness score. Overall, two natural product-specific datasets were generated, which are publicly available together with the code to create the fingerprints and the novel natural product likeness score.",2021-07-26T11:20:45.391Z,10.26434/chemrxiv-2021-p5vl3-v2
194,Unveiling Encrypted Antimicrobial Peptides from Cephalopods' Salivary Glands: A Proteolysis-Driven Virtual Approach,"Antimicrobial peptides (AMPs), with their versatile actions, offer promise against antimicrobial resistance and as templates for novel therapeutic agents. While existing AMP databases primarily feature AMPs from terrestrial eukaryotes, marine sources are gaining attention, with cephalopods emerging as a promising but still underexplored source. This study unveils the potential reservoir of AMPs encrypted within the proteome of cephalopods’ salivary glands using in silico proteolysis. A composite protein database comprising canonical and non-canonical proteins from cephalopods' salivary apparatus was used as the substrate for five proteases involved in three digestion protocols. The resulting millions of peptides were screened using machine learning, deep learning, multi-query similarity-based models, and complex networks. The screening prioritizes antimicrobial activity, the absence of haemolytic and toxic attributes, and structural distinctiveness compared to characterized AMPs. Diverse publicly accessible AMP datasets are produced, catering to various research needs, ranging from those focused solely on antimicrobial activity to refined datasets of non-haemolytic and non-toxic AMPs. Comparative analyses and network science principles were applied to identify singular and representative subsets from non-haemolytic and non-toxic AMPs. All these sets of AMPs and the proposed mining tools serve as valuable assets for peptide drug developers.",2023-12-12T12:48:40.724Z,10.26434/chemrxiv-2023-rqqqb
195,Modeling Physico-Chemical ADMET Endpoints With Multitask Graph Convolutional Networks,"Simple physico-chemical properties like logD, solubility or serum albumin binding have a direct impact on the likelihood of success of compounds in clinical trials. Here, we collected all the Bayer in house data related to these properties and applied machine learning techniques to predict them for new compounds. We report that, for the endpoints studied here, a multitask graph convolutional network appears a highly competitive choice. The new model shows increased predictive performance on all endpoints compared to previous modeling methods.<br />",2019-08-02T16:08:13.000Z,10.26434/chemrxiv.9205853.v1
196,Advancing Force Fields Parameterization: A Directed Graph Attention Networks Approach,"Force Fields (FFs) are an established tool for simulating large and complex molecular systems. However, parametrizing FFs is a challenging and time-consuming task that relies on empirical heuristics, experimental data, and computational data. Recent efforts aim to automate the assignment of FF parameters using pre-existing databases and on-the-fly ab-initio data. In this study, we propose a Graph-Based Force Fields (GB-FFs) model to directly derive parameters for the Generalized Amber Force Field (GAFF) from chemical environments and research into the influence of functional forms. Our end-to-end parameterization approach eliminates the need for expert-defined procedures and enhances the accuracy and transferability of GAFF across a broader range of molecular complexes. The GB-FFs model, which is only grounded on ab initio data, is implemented in the highly parallel Tinker-HP GPU package. Simulation results are compared to the original GAFF parameterization and validated on various experimentally and computationally derived properties, including free energies.",2024-05-27T08:23:32.631Z,10.26434/chemrxiv-2023-nz8hc-v2
197,An Analysis of Proteochemometric and Conformal Prediction Machine Learning Protein-Ligand Binding Affinity Models,"<div><div><div><p>Protein-ligand binding affinity is a key pharmacodynamic endpoint in drug discovery. Sole reliance on experimental design, make, and test cycles is costly and time consuming, providing an opportunity for computational methods to assist. Herein, we present results comparing random forest and feed-forward neural network proteochemometric models for their ability to predict pIC50 measurements for held out generic Bemis-Murcko scaffolds. In addition, we assess the ability of conformal prediction to provide calibrated prediction intervals in both a retrospective and semi-prospective test using the recently released Grand Challenge 4 data set as an external test set. In total, random forest and deep neural network proteochemometric models show quality retrospective performance but suffer in the semi-prospective setting. However, the conformal predictor prediction intervals prove to be well calibrated both retrospectively and semi-prospectively showing that they can be used to guide hit discovery and lead optimization campaigns.</p></div></div></div>",2020-01-29T11:42:51.000Z,10.26434/chemrxiv.11750544.v1
198,Meta-Learning Initializations for Low-Resource Drug Discovery,"Building in silico models to predict chemical properties and activities is a crucial step in drug discovery. However, drug discovery projects are often characterized by limited labeled data, hindering the applications of deep learning in this setting. Meanwhile advances in meta-learning have enabled state-of-the-art performances in few-shot learning benchmarks, naturally prompting the question: Can meta-learning improve deep learning performance in low-resource drug discovery projects? In this work, we assess the efficiency of the Model-Agnostic Meta-Learning (MAML) algorithm – along with its variants FO-MAML and ANIL – at learning to predict chemical properties and activities. Using the ChEMBL20 dataset to emulate low-resource settings, our benchmark shows that meta-initializations perform comparably to or outperform multi-task pre-training baselines on 16 out of 20 in-distribution tasks and on all out-of-distribution tasks, providing an average improvement in AUPRC of 7.2% and 14.9% respectively. Finally, we observe that meta-initializations consistently result in the best performing models across fine-tuning sets with k ∈ {16, 32, 64, 128, 256} instances.<br />",2020-03-16T06:30:36.000Z,10.26434/chemrxiv.11981622.v1
199,Do machines dream of atoms? Crippen's logP as a quantitative molecular benchmark for explainable AI heatmaps,"While there is a great deal of interest in methods aimed at explaining machine learning predictions of chemical properties, it is difficult to quantitatively benchmark such methods, especially for regression tasks. We show that the Crippen logP model (J. Chem. Inf. Comput. Sci. 1999, 39, 868) provides an excellent benchmark for atomic attribution/heatmap approaches, especially if the ground truth heatmaps can be adjusted to reflect the molecular representation. The “atom attribution from finger prints”-method developed by Riniker and Landrum (J. Chem. Inf. Comput. Sci. 2013, 5, 43) gives atomic attribution heatmaps that are in reasonable agreement with the atomic contribution heatmaps of the Crippen logP model for most molecules, with average heatmap overlaps of up to 0.54. The agreement is increased significantly (to 0.75) when the atomic contributions are adjusted to match the fact that the molecular representation is fragment-based rather than atom-based (the finger print-adapted (FPA) ground truth vector). Most heatmaps and the corresponding FPA overlaps are relatively insensitive to the training set size and the results are close to converged for a training set size of 1000 molecules, although for molecules with low overlap some heatmaps change significantly. Using the “remove an atom” approach for graph convolutional neural networks (GCNNs) suggested by Matveieva and Polishchuk (J. Cheminform. 2021, 13, 41) we find an average heatmap overlap of 0.47 for the atomic contribution heatmaps of the Crippen logP model. Like the simpler attribution benchmarks for classification tasks that have come before it, this work sets the bar for regression tasks.",2022-12-01T13:35:50.714Z,10.26434/chemrxiv-2022-gnq3w-v2
200,"Towards Efficient Generation, Correction and Properties Control of Unique Drug-like Structures","<div> 			<div> 				<div> 					<p>Efficient design and screening of the novel molecules is a major challenge in drug and material design. This report focuses on a multi-stage pipeline in which several deep neural network (DNN) models are combined to map discrete molecular representations into continuous vector space to later generate from it new molecular structures with desired properties. Here the Attention-based Sequence-to-Sequence model is added to “spellcheck” and correct generated structures while the oversampling in the continuous space allows generating candidate structures with desired distribution for properties and molecular descriptors even for small reference datasets. We further use computer simulation to validate the desired properties in the numerical experiment. With the focus on the drug design, such pipeline allows generating novel structures with control of SAS (Synthetic Accessibility Score) and a series of ADME metrics that assess the drug-likeliness. </p> 				</div> 			</div> 		</div>",2019-10-09T20:02:22.000Z,10.26434/chemrxiv.9941858.v1
201,Learning Continuous and Data-Driven Molecular Descriptors by Translating Equivalent Chemical Representations,"<p></p><p>There has been a recent surge of interest in using machine learning across chemical space in order to predict properties of molecules or design molecules and materials with desired properties. Most of this work relies on defining clever feature representations, in which the chemical graph structure is encoded in a uniform way such that predictions across chemical space can be made. In this work, we propose to exploit the powerful ability of deep neural networks to learn a feature representation from low-level encodings of a huge corpus of chemical structures. Our model borrows ideas from neural machine translation: it translates between two semantically equivalent but syntactically different representations of molecular structures, compressing the meaningful information both representations have in common in a low-dimensional representation vector. Once the model is trained, this representation can be extracted for any new molecule and utilized as descriptor. In fair benchmarks with respect to various human-engineered molecular fingerprints and graph-convolution models, our method shows competitive performance in modelling quantitative structure-activity relationships in all analyzed datasets. Additionally, we show that our descriptor significantly outperforms all baseline molecular fingerprints in two ligand-based virtual screening tasks. Overall, our descriptors show the most consistent performances over all experiments. The continuity of the descriptor space and the existence of the decoder that permits to deduce a chemical structure from an embedding vector allows for exploration of the space and opens up new opportunities for compound optimization and idea generation.</p><br /><p></p>",2018-07-30T14:09:22.000Z,10.26434/chemrxiv.6871628.v1
202,Benchmarking machine-readable vectors of chemical re- actions on computed activation barriers,"In recent years, there has been a surge of interest in predicting computed activation barriers, to enable the acceleration of the automated exploration of reaction networks. Consequently, various predictive approaches have emerged, ranging from graph-based models to methods based on the three-dimensional structure of reactants and products. In tandem, many representations have been developed to predict experimental targets, which may hold promise for barrier prediction as well. Here, we bring together all of these efforts and benchmark various methods (CGR, SLATMd , B2R2l , MFPs, DRFP and RXNFP) for the prediction of computed activation barriers on three diverse datasets",2023-09-04T08:04:55.220Z,10.26434/chemrxiv-2023-0hgbc
203,Uni-Mol: A Universal 3D Molecular Representation Learning Framework,"Molecular representation learning (MRL) has gained tremendous attention due to its critical role in learning from limited supervised data for applications like drug design. In most MRL methods, molecules are treated as 1D sequential tokens or 2D topology graphs, limiting their ability to incorporate 3D information for downstream tasks and, in particular, making it almost impossible for 3D geometry prediction/generation. In this paper, we propose a universal 3D MRL framework, called Uni-Mol, that significantly enlarges the representation ability and application scope of MRL schemes. Uni-Mol contains two pretrained models with the same SE(3) Transformer architecture: a molecular model pretrained by 209M molecular conformations; a pocket model pretrained by 3M candidate protein pocket data. Besides, Uni-Mol contains several finetuning strategies to apply the pretrained models to various downstream tasks. By properly incorporating 3D information, Uni-Mol outperforms SOTA in 14/15 molecular property prediction tasks. Moreover, Uni-Mol achieves superior performance in 3D spatial tasks, including protein-ligand binding pose prediction, molecular conformation generation, etc. The code, model, and data are made publicly available at https://github.com/dptech-corp/Uni-Mol.",2023-03-07T03:58:23.150Z,10.26434/chemrxiv-2022-jjm0j-v4
204,Partial Density of States Representation for Accurate Deep Neural Network Predictions of X-ray Spectra ,"The performance of a Machine Learning (ML) algorithm for chemistry is highly contingent upon the architect’s choice of input representation. This work introduces the partial density of states (p-DOS) descriptor: a novel, quantum- inspired structural representation which encodes relevant electronic information for machine learning models seeking to simulate X-ray spectroscopy. p-DOS uses a minimal basis set in conjunction with a guess (non-optimised) electronic configuration to extract and then discretise the density of states (DOS) of the absorbing atom to form the input vector. We demonstrate that while the electronically-focused p-DOS performs well in isolation, optimal performance is achieved when supplemented with nuclear structural information imparted via a geometric representation. p-DOS provides a description of the key electronic properties of a system which is not only concise and computationally efficient, but also independent of molecular size or choice of basis set. It can be rapidly generated, facilitating its application with large training sets. Its performance is demonstrated using a wide variety of examples at the sulphur K-edge, including the prediction of ultrafast X-ray spectroscopic signal associated with photoexcited 2(5H)-thiophenone. These results highlight the potential for ML models developed using p-DOS to contribute to the interpretation and predic- tion of experimental results made possible by emergent cutting-edge technologies, especially X-ray free electron lasers.",2024-02-09T08:53:38.706Z,10.26434/chemrxiv-2024-bbrgt
205,Quantifying the hardness of bioactivity prediction tasks for transfer learning,"Today, machine learning methods are widely employed in drug discovery. However, the chronic lack of data continues to hamper their further development, validation, and application. Several modern strategies aim to mitigate the challenges associated with data scarcity by learning from data on related tasks. These knowledge-sharing approaches encompass transfer learning, multi-task learning, and meta-learning. A key question remaining to be answered for these approaches is about the extent to which their performance can benefit from the relatedness of available source (training) tasks, in other words, how difficult (“hard”) a test task is to a model, given the available source tasks.  This study introduces a new method for quantifying and predicting the hardness of a bioactivity prediction task based on its relation to the available training tasks. The approach involves the generation of protein and chemical representations and the calculation of distances between the bioactivity prediction task and the available training tasks.  In the example of meta-learning, we demonstrate that the proposed task hardness metric is inversely correlated with performance. The metric will be useful in estimating the task-specific gain in performance that can be achieved through meta-learning. ",2024-01-29T10:18:38.730Z,10.26434/chemrxiv-2024-871mt
206,Predictive Minisci and P450 Late Stage Functionalization with Transfer Learning,"Structural diversification of lead molecules is a key component of drug discovery to explore chemical space. Late stage functionalizations (LSFs) are versatile methodologies capable of installing functional handles on richly decorated intermediates to deliver numerous diverse products in a single reaction. Predicting the regioselectivity of LSF is still an open challenge in the field. Numerous efforts from chemoinformatics and machine learning (ML) groups have made significant strides in this area. However, it is arduous to isolate and characterize the multitude of LSF products generated, limiting available data and hindering pure ML approaches. We report the development of an approach that combines a message passing neural network and 13C NMR-based transfer learning to predict the atom-wise probabilities of functionalization for Minisci and P450-based functionalizations. We validated our model both retrospectively and with a series of prospective experiments, showing that it accurately predicts the outcomes of Minisci-type and P450 transformations and outperforms the well-established Fukui-based reactivity indices and other machine learning reactivity-based algorithms.",2023-09-06T05:22:02.217Z,10.26434/chemrxiv-2022-7ddw5-v3
207,HydraScreen: A Generalizable Structure-Based Deep Learning Approach to Drug Discovery,"We propose HydraScreen, a deep-learning framework for safe and robust accelerated drug discovery. HydraScreen utilizes a state-of-the-art 3D convolutional neural network, designed for the effective representation of molecular structures and interactions in protein-ligand binding. We design an end-to-end pipeline for high-throughput screening and lead optimization, targeting applications in structure-based drug design. We assess our approach using established public benchmarks based on the CASF 2016 core set, achieving top-tier results in affinity and pose prediction (Pearson's r = 0.86, RMSE = 1.15, Top-1 = 0.95).      We introduce a novel approach for interaction profiling, aimed at detecting potential biases within both the model and datasets. This approach not only enhances interpretability but also reinforces the impartiality of our methodology. Finally, we demonstrate HydraScreen's ability to generalize effectively across novel proteins and ligands through a temporal split. We also provide insights into potential avenues for future development aimed at enhancing the robustness of machine learning scoring functions. HydraScreen, accessible at https://hydrascreen.ro5.ai, provides a user-friendly GUI and a public API, facilitating easy-access assessment of protein–ligand complexes.",2023-10-09T04:57:08.830Z,10.26434/chemrxiv-2023-gwm1s-v2
208,Message Passing Neural Networks for Partial Charge Assignment to Metal-Organic Frameworks,"Virtual screenings can accelerate and reduce the cost of discovering metal-organic frameworks (MOFs) for their applications in gas storage, separation, and sensing. In molecular simulations of gas adsorption/diffusion in MOFs, the adsorbate-MOF electrostatic interaction is typically modeled by placing partial point charges on the atoms of the MOF. For the virtual screening of large libraries of MOFs, it is critical to develop computationally inexpensive methods to assign atomic partial charges to MOFs that accurately reproduce the electrostatic potential in their pores. Herein, we design and train a message passing neural network (MPNN) to predict the atomic partial charges on MOFs under a charge neutral constraint. A set of ca. 2,250 MOFs labeled with high-fidelity partial charges, derived from periodic electronic structure calculations, serves as training examples. In an end-to-end manner, from charge-labeled crystal graphs representing MOFs, our MPNN machine-learns features of the local bonding environments of the atoms and learns to predict partial atomic charges from these features. Our trained MPNN assigns high-fidelity partial point charges to MOFs with orders of magnitude lower computational cost than electronic structure calculations. To enhance the accuracy of virtual screenings of large libraries of MOFs for their adsorption-based applications, we make our trained MPNN model and MPNN-charge-assigned computation-ready, experimental MOF structures publicly available.<br />",2020-05-14T12:28:35.000Z,10.26434/chemrxiv.12298487.v1
209,openOCHEM consensus model wins Kaggle First EUOS/SLAS Joint Compound Solubility Challenge  ,"The EUOS/SLAS challenge has its goal to develop reliable algorithms to predict solubility of small molecules experimentally measured aqueous solubility of 100k compounds. In total, hundred teams took part in the challenge to predict low, medium and highly soluble compounds as measured by nephelometry assay. This article describes the winning Top I rank model which was developed using the publicly available Online CHEmical database and Modeling environment (OCHEM) and which is publicly available at https://ochem.eu/article/​​27. We describe in detail the assumptions and steps used to select methods, descriptors and strategy which contributed to the winning solution.",2023-05-23T09:52:35.637Z,10.26434/chemrxiv-2023-p8qcv
210,Linear Graphlet Models for Accurate and Interpretable Cheminformatics,"Advances in machine learning have given rise to a plurality of data-driven methods for estimating chemical properties from molecular structure. For many decades, the cheminformatics field has relied heavily on structural fingerprinting, while in recent years much focus has shifted leveraging highly parameterized deep neural networks which usually maximize accuracy. Beyond accuracy, machine learning techniques need intuitive and useful explanations for the predictions of models and uncertainty quantification techniques so that a practitioner might know when a model is appropriate to apply to new data. Here we show that linear models built on unfolded molecular-graphlet-based fingerprints attain accuracy that is competitive with the state of the art while retaining an explainability advantage over black-box approaches. We show how to produce precise explanations of predictions by exploiting the relationships between molecular graphlets and show that these explanations are consistent with chemical intuition, experimental measurements, and theoretical calculations. Finally we show how to use the presence of unseen fragments in new molecules to adjust predictions and quantify uncertainty. ",2024-02-26T10:35:38.548Z,10.26434/chemrxiv-2024-r81c8
211,Structure to Property: Machine Learning Methods for Predicting Electronic Properties of Crystals,"We present a general-purpose machine learning model for predicting properties of crystals. Specifically, energy of formation, Fermi level energy, band gap, partial charges, and bulk modulus as well as spectral properties, including electronic and phonon densities of states are targeted. Thus, our model can be used to screen materials for specific properties. The model is based on atomic representations which enables it to effectively capture complex information about each atom and its surrounding environment in a crystal. The accuracy achieved for band gap values exceeds results previously published. By design, our model is not restricted to electronic properties discussed here but can be extended to fit diverse chemical databases.",2023-11-29T09:14:01.949Z,10.26434/chemrxiv-2023-gq77g
212,Benchmarking molecular feature attribution methods with activity cliffs,"Feature attribution techniques are popular choices within the explainable artificial intelligence toolbox, as they can help elucidate which parts of the provided inputs used by an underlying supervised-learning method are considered relevant for a specific prediction. In the context of molecular design, these approaches typically involve the coloring of molecular graphs, whose presentation to medicinal chemists can be useful for making a decision of which compounds to synthesize or prioritize. The consistency of the highlighted moieties alongside expert background knowledge is expected to contribute to the understanding of machine-learning models in drug design. Quantitative evaluation of such coloring approaches, however, has so far been limited to substructure identification tasks. We here present an approach that is based on maximum common substructure algorithms applied to experimentally-determined activity cliffs. Using the proposed benchmark, we found that molecule coloring approaches in conjunction with classical machine-learning models tend to outperform more modern, deep-learning-based alternatives. However, none of the tested feature attribution methods sufficiently and consistently generalized when confronted with unseen examples.",2021-09-17T12:47:36.186Z,10.26434/chemrxiv-2021-pp88m
213,Multi-Resolution Autoregressive Graph-to-Graph Translation for Molecules,"The problem of accelerating drug discovery relies heavily on automatic tools to optimize precursor molecules to afford them with better biochemical properties. Our work in this paper substantially extends prior state-of-the-art on graph-to-graph translation methods for molecular optimization. In particular, we realize coherent multi-resolution representations by interweaving trees over substructures with the atom-level encoding of the original molecular graph. Moreover, our graph decoder is fully autoregressive, and interleaves each step of adding a new substructure with the process of resolving its connectivity to the emerging molecule. We evaluate our model on multiple molecular optimization tasks and show that our model outperforms previous state-of-the-art baselines by a large margin.",2019-06-13T15:14:33.000Z,10.26434/chemrxiv.8266745.v1
214,PBCNet：Computing Relative Binding Affinity of Ligands to a Receptor Based on a Pairwise Binding Comparison Network for Lead Optimization,"Structure-based lead optimization is an open challenge in drug discovery, which is still largely driven by hypotheses and depends on the experience of medicinal chemists. We here propose a pairwise binding comparison network (PBCNet) based on physics-informed graph attention mechanism, specifically tailored for ranking relative binding affinity among congeneric ligands. Benchmarking on two held-out sets (provided by Schrödinger, Inc. and Merck KGaA) containing over 460 ligands and 16 targets, PBCNet demonstrated significant advantages in terms of both prediction accuracy and computational efficiency. Equipped with a fine-tuning operation, the performance of PBCNet reaches that of Schrödinger's FEP+, which is much more computationally intensive and requires significant expert intervention. A further simulation-based experiment showed that active learning-optimized PBCNet may accelerate lead optimization campaigns by 30%. Finally, for the convenience of users, a web service (https://pbcnet.alphama.com.cn/index) for PBCNet is established to facilitate complex relative binding affinity prediction through an easy-to-operate graphical interface.",2023-04-24T09:51:02.886Z,10.26434/chemrxiv-2023-tbmtf
215,Regio-MPNN: Predicting Regioselectivity for General Metal-Catalyzed Cross-Coupling Reactions using Chemical Knowledge Informed Message Passing Neural Network,"As a fundamental problem in organic chemistry, synthesis planning aims at designing energy and cost-efficient reaction pathways for target compounds. In synthesis planning, it is crucial to understand regioselectivity, or the preference of a reaction over competing reaction sites. Precisely predicting regioselectivity enables early exclusion of unproductive reactions and paves the way to designing high-yielding synthetic routes with minimal separation and material costs. However, it is still at emerging state to combine chemical knowledge and data-driven methods to make practical predictions for regioselectivity. At the same time, metal-catalyzed cross-coupling reactions have profoundly transformed medicinal chemistry, and thus become one of the most frequently encountered types of reactions in synthesis planning. In this work, we for the first time introduce a chemical knowledge informed message passing neural network(MPNN) framework that directly identifies the intrinsic major products for metal-catalyzed cross-coupling reactions with regioselective ambiguity. Integrating both first principle methods and data-driven methods, our model achieves an overall accuracy of 95.24\% on the test set of eight typical metal-catalyzed cross-coupling reaction types, including Suzuki-Miyaura, Stille, Sonogashira, Buchwald-Hartwig, Hiyama, Kumada, Negishi, and Heck reactions, outperforming other commonly used model types. To integrate electronic effects with steric effects in regioselectivity prediction, we propose a quantitative method to measure the steric hindrance effect. Our steric hindrance checker can successfully identify regioselectivity induced solely by steric hindrance. Notably under practical scenarios, our model outperforms 6 experimental organic chemists with an average working experience of over 10 years in the organic synthesis industry in terms of predicting major products in regioselective cases. We have also exemplified the practical usage of our model by fixing routes designed by open-access synthesis planning software and improving reactions by identifying low-cost starting materials. To assist general chemists in making prompt decisions about regioselectivity, we have developed a free web-based AI-empowered tool. Our code and web tool have been made available at https://github.com/Chemlex-AI/regioselectivity and https://ai.tools.chemlex.com/region-choose, respectively.",2024-03-27T05:12:44.785Z,10.26434/chemrxiv-2024-tddfc-v2
216,When yield prediction does not yield prediction: an overview of the current challenges,"Machine Learning techniques face significant challenges when predicting advanced chemical properties, such as yield, feasibility of chemical synthesis, and optimal reaction conditions. These challenges stem from the high-dimensional nature of the prediction task and the myriad essential variables involved, ranging from reactants and reagents to catalysts, temperature, and purification processes. Successfully developing a reliable predictive model not only holds potential for optimizing High-Throughput experiments but can also elevate existing retrosynthetic predictive approaches and bolster a plethora of applications within the field. In this review, we systematically evaluate the efficacy of current ML methodologies in chemoinformatics, shedding light on their milestones and inherent limitations. Additionally, a detailed examination of a representative case study provides insights into prevailing issues related to data availability and transferability in the discipline.",2023-09-21T04:39:02.297Z,10.26434/chemrxiv-2023-xdv03
217,BigBind: Learning from Nonstructural Data for Structure-Based Virtual Screening,"Deep learning methods that predict protein-ligand binding have recently been used for structure-based virtual screening. Many such models have been trained using protein-ligand complexes with known crystal structures and activities from the PDBBind dataset. However, because PDBbind only includes 20K complexes, models typically fail to generalize to new targets, and model performance is on par with models trained with only ligand information. Conversely, the ChEMBL database contains a wealth of chemical activity information but includes no information about binding poses. We introduce BigBind, a dataset that maps ChEMBL activity data to proteins from the CrossDocked dataset. BigBind comprises 583K ligand activities and includes 3D structures of the protein binding pockets. Additionally, we augmented the data by adding an equal number of putative inactives for each target. Using this data, we developed BANANA (BAsic NeurAl Network for binding Affinity), a neural network-based model to classify active from inactive compounds, defined by a 10 μM cutoff. Our model achieved an AUC of 0.72 on BigBind’s test set, while a ligand-only model achieved an AUC of 0.59. Furthermore, BANANA achieved competitive performance on the LIT-PCBA benchmark (median EF1\% 1.81) while running 16,000 times faster than molecular docking with GNINA.  We suggest that BANANA, as well as other models trained on this dataset, will significantly improve the outcomes of prospective virtual screening tasks.",2023-11-14T06:19:48.032Z,10.26434/chemrxiv-2022-3qc9t-v3
218,Incorporating Neural Networks into the AMOEBA Polarizable Force Field," Neural network potentials (NNPs) offer significant promise to bridge the gap be- tween the accuracy of quantum mechanics and the efficiency of molecular mechanics in molecular simulation. Most NNPs rely on the locality assumption that ensures the model’s transferability and scalability and thus lack the treatment of long-range inter- actions, which are essential for molecular systems in condensed phase. Here we present an integrated hybrid model, AMOEBA+NN, which combines the AMOEBA potential for the short- and long-range non-covalent atomic interactions and an NNP to capture the remaining local covalent contributions. The AMOEBA+NN model was trained on the conformational energy of ANI-1x dataset and tested on several external datasets ranging from small molecules to tetrapeptides.The hybrid model demonstrated sub- stantial improvements over the baseline models in term of accuracy as the molecule size increased, suggesting its potential as a next-generation approach for chemically accurate molecular simulations.",2023-12-14T05:16:54.938Z,10.26434/chemrxiv-2023-kgfpg-v3
